"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.170761250E-1,1.783955090E1,1.545788641E1,3.660905467E0,2.388719442E1
7.270871250E-1,1.654469318E1,1.538495058E1,1.346344208E0,2.263263616E1
7.370991250E-1,1.493638260E1,1.513127965E1,-1.264428810E0,2.129905936E1
7.471101250E-1,1.296238832E1,1.432951178E1,-3.241408675E0,1.959247685E1
7.571221250E-1,1.064981336E1,1.277243217E1,-3.739432404E0,1.704514309E1
7.671331250E-1,8.127587657E0,1.049273961E1,-3.984883899E0,1.385765367E1
7.771451250E-1,5.496718928E0,8.483372018E0,-5.150983007E0,1.134522568E1
7.871561250E-1,-4.213498337E0,2.066269187E0,-2.111615981E1,2.163134859E1
7.971681250E-1,-1.308925302E1,-6.525928286E0,-2.807872250E1,3.165961057E1
8.071791250E-1,-8.379802626E0,-5.445547020E-1,-7.991631707E0,1.159240308E1
8.171911250E-1,-4.316035403E0,1.227603630E0,-5.742408405E0,7.287690070E0
8.272021250E-1,-3.884084918E0,7.607028759E-1,-3.989061735E0,5.619377015E0
8.372141250E-1,-5.268864044E0,5.197946674E-1,-4.922272090E0,7.229099345E0
8.472251250E-1,-5.685701523E0,1.667380321E0,-5.657810889E0,8.192568767E0
8.572371250E-1,-4.624017607E0,2.528753539E0,-4.069905923E0,6.658848813E0
8.672481250E-1,-4.016700354E0,2.759277093E0,-2.714858134E0,5.578346215E0
8.772601250E-1,-2.853654077E0,1.442518626E0,-2.416443876E0,4.007917487E0
8.872711250E-1,-1.827943693E0,8.775390154E-1,-2.071000169E0,2.898360669E0
8.972831250E-1,-6.295483670E-1,4.855293989E-1,-2.226982102E0,2.364639343E0
9.072941250E-1,4.581743699E-1,2.661067843E-3,-2.393994807E0,2.437445788E0
9.173061250E-1,2.039681020E0,1.024886511E0,-1.808277168E0,2.912139650E0
9.273171250E-1,3.733400709E0,2.058870705E0,-6.403870583E-1,4.311302009E0
9.373291250E-1,4.606435614E0,2.752283238E0,5.370269966E-1,5.392838778E0
9.473401250E-1,4.871998607E0,3.624560344E0,1.732749268E0,6.314762715E0
9.573511250E-1,5.451630464E0,4.268110161E0,2.247872010E0,7.279420831E0
9.673631250E-1,5.726773535E0,4.206154234E0,1.626546291E0,7.289260689E0
9.773741250E-1,5.945870460E0,3.257996056E0,1.251290116E0,6.894464503E0
9.873861250E-1,4.553342311E0,1.211990980E0,2.567848608E0,5.366162019E0
9.973971250E-1,2.809264355E0,-6.585637128E-1,3.186605354E0,4.298851714E0
1.007409125E0,1.294500748E0,-1.473830466E0,2.347320577E0,3.059055789E0
1.017420125E0,2.564825597E-1,-1.504924205E0,6.964984015E-1,1.678001844E0
1.027432125E0,-9.355913419E-1,-1.458057602E0,-3.154695636E-1,1.760904363E0
1.037443125E0,-1.642287580E0,-2.146643844E0,-1.044914979E0,2.897763896E0
1.047455125E0,-2.007623076E0,-2.718417919E0,-1.352260421E0,3.639911351E0
1.057466125E0,-2.436117856E0,-3.001955838E0,-1.711654853E0,4.228022162E0
1.067478125E0,-1.220373548E0,-2.824149612E0,-2.940930495E0,4.256078571E0
1.077489125E0,1.522009769E-1,-2.254322659E0,-3.795566259E0,4.417177720E0
1.087501125E0,1.428258145E0,-1.523659269E0,-4.504518353E0,4.965092596E0
1.097512125E0,2.607537169E0,-5.822405916E-1,-5.405838579E0,6.030036893E0
1.107524125E0,2.590063642E0,1.598183786E0,-5.630547076E0,6.400443849E0
1.117535125E0,3.325997420E0,2.798095588E0,-4.299176418E0,6.113470016E0
1.127547125E0,3.997107796E0,2.390956301E0,-2.811548862E0,5.440436542E0
1.137558125E0,1.749777676E0,3.115321655E0,-1.371862627E0,3.827395720E0
1.147570125E0,-4.587386262E-1,5.248255532E0,-1.192316269E0,5.401503989E0
1.157581125E0,1.483711384E0,5.511572610E0,3.834531519E0,6.876224551E0
1.167593125E0,1.253508842E0,6.897349856E0,8.961913995E0,1.137807637E1
1.177604125E0,1.003417143E0,8.012867625E0,1.057076369E1,1.330240348E1
1.187616125E0,1.011702355E0,8.408522395E0,9.212009348E0,1.251350897E1
1.197627125E0,1.480331693E0,8.169865365E0,7.450630358E0,1.115571489E1
1.207639125E0,1.894231823E0,8.025942584E0,5.544602362E0,9.937126542E0
1.217650125E0,4.932714779E-1,7.987303013E0,2.628890616E0,8.423264928E0
1.227662125E0,-1.758275288E-1,7.642959899E0,9.559523700E-1,7.704517913E0
1.237673125E0,-1.114693896E0,7.215654150E0,8.251713520E-1,7.347728564E0
1.247685125E0,-2.407809146E0,5.320915373E0,2.157586031E-1,5.844333757E0
1.257696125E0,-3.532131068E0,4.729548447E0,-2.106085509E0,6.267389773E0
1.267708125E0,-3.302238429E0,5.701703013E0,-2.074669881E0,6.907854298E0
1.277719125E0,-2.527710396E0,5.785932155E0,-1.594221421E0,6.512132729E0
1.287730125E0,-2.001114540E0,5.019963276E0,-4.344481230E-3,5.404119685E0
1.297742125E0,-1.524082899E0,3.164135966E0,2.394331606E0,4.250577483E0
1.307753125E0,-9.133691449E-1,1.187869461E0,4.655003464E0,4.890228451E0
1.317764917E0,-5.035701057E-1,2.925929171E-1,4.247437623E0,4.287180872E0
1.327775917E0,-1.352306029E-1,-7.221252859E-1,5.822988299E0,5.869151981E0
1.337787917E0,2.790981281E-1,-5.143721350E0,8.065361003E0,9.570047712E0
1.347798917E0,-2.101507286E0,-4.387602808E1,9.628362678E0,4.496918435E1
1.357810917E0,-1.373147991E0,-7.330365177E1,1.333025186E1,7.451849779E1
1.367821917E0,-1.773985660E-1,-7.770443467E1,1.157258703E1,7.856166628E1
