"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.958925000E-1,-5.088674492E0,-7.351977305E0,4.873548412E0,1.018320443E1
7.058475000E-1,-5.228515332E0,-7.511308084E0,2.747684403E0,9.555463950E0
7.158025000E-1,-4.568713764E0,-7.257509689E0,-3.987508714E-1,8.585079766E0
7.257575000E-1,-4.200086578E0,-7.435156871E0,-2.386635209E0,8.866696825E0
7.357125000E-1,-3.823589625E0,-8.049059551E0,-2.584947621E0,9.278423976E0
7.456675000E-1,-3.320648387E0,-8.084064492E0,-2.335920553E0,9.046288148E0
7.556225000E-1,-2.996332571E0,-7.208260930E0,-2.268080572E0,8.129035859E0
7.655765000E-1,-2.952252166E0,-5.954906162E0,-3.128718503E0,7.346126852E0
7.755315000E-1,-2.350095373E0,-5.980031063E0,-4.300784402E0,7.731782864E0
7.854865000E-1,-2.646163291E-1,-7.410569329E0,-4.178888667E0,8.511737195E0
7.954415000E-1,2.085080849E0,-8.424522132E0,-3.067475059E0,9.204864938E0
8.053965000E-1,3.489838741E0,-8.446784821E0,-2.977037636E0,9.611966570E0
8.153515000E-1,4.160055370E0,-7.880543380E0,-4.822143492E0,1.013223038E1
8.253065000E-1,3.721522967E0,-7.243184595E0,-6.805023490E0,1.061234192E1
8.352615000E-1,2.981425095E0,-6.489168595E0,-8.008274637E0,1.072989596E1
8.452161250E-1,2.550820931E0,-6.665904197E0,-8.479231020E0,1.108324523E1
8.551711250E-1,2.844163461E0,-7.815601864E0,-8.365990918E0,1.179672422E1
8.651261250E-1,3.801501183E0,-8.553577198E0,-8.972015644E0,1.296580730E1
8.750801250E-1,4.876560313E0,-8.595681244E0,-9.503093099E0,1.371041046E1
8.850351250E-1,5.669116480E0,-7.801811206E0,-1.055510952E1,1.429746400E1
8.949901250E-1,6.224932335E0,-6.378562664E0,-1.069878964E1,1.392479601E1
9.049451250E-1,6.307403803E0,-5.150583642E0,-9.846426984E0,1.277747937E1
9.149001250E-1,6.350200744E0,-4.223902287E0,-9.815902179E0,1.243054044E1
9.248551250E-1,6.842183130E0,-3.579580638E0,-9.466463801E0,1.221649722E1
9.348101250E-1,7.913555591E0,-2.839526035E0,-9.405144635E0,1.261522952E1
9.447651250E-1,1.003510143E1,-3.095004920E0,-9.520740581E0,1.417486569E1
9.547201250E-1,1.204487716E1,-3.807272385E0,-9.115406914E0,1.557770946E1
9.646751250E-1,1.366892727E1,-4.161338249E0,-8.222565150E0,1.648535370E1
9.746301250E-1,1.538118848E1,-4.081897978E0,-6.832225907E0,1.731826091E1
9.845851250E-1,1.686480017E1,-3.836037762E0,-5.241405519E0,1.807232698E1
9.945391250E-1,1.756343134E1,-3.097968873E0,-3.847758798E0,1.824491106E1
1.004494125E0,1.785997639E1,-2.025777803E0,-2.409859765E0,1.813532345E1
1.014449125E0,1.747064890E1,-7.156541723E-1,-1.109427017E0,1.752046124E1
1.024404125E0,1.661442941E1,8.450472075E-1,3.048095047E-2,1.663593396E1
1.034359125E0,1.552274840E1,1.742255087E0,6.134617996E-1,1.563225851E1
1.044314125E0,1.387856516E1,2.072511089E0,8.148387372E-1,1.405609602E1
1.054269125E0,1.236802236E1,2.021080735E0,1.614314500E0,1.263561458E1
1.064224125E0,1.117574819E1,1.674944279E0,2.572893586E0,1.158976132E1
1.074179125E0,1.003159661E1,1.535336743E0,3.270138969E0,1.066226985E1
1.084134125E0,9.163774497E0,1.547700096E0,3.789253605E0,1.003636296E1
1.094089125E0,8.058165420E0,1.565438794E0,4.210610397E0,9.225717775E0
1.104044125E0,7.062065921E0,1.480999737E0,4.592369844E0,8.553127854E0
1.113999125E0,6.674565092E0,9.428231782E-1,4.919197624E0,8.344893048E0
1.123953125E0,5.958994535E0,6.319009942E-1,5.400414117E0,8.066807756E0
1.133908125E0,5.142208675E0,6.924974442E-1,5.855448532E0,7.823563145E0
1.143863125E0,4.736963301E0,6.243042916E-1,5.113391842E0,6.998239300E0
1.153818125E0,4.218607341E0,4.842120212E-1,4.779031094E0,6.392984231E0
1.163773125E0,3.652116517E0,8.003750646E-1,4.433172382E0,5.799273460E0
1.173728125E0,2.962097123E0,1.216509708E0,3.704753737E0,4.896847506E0
1.183683125E0,2.852380261E0,9.870205271E-1,3.129562549E0,4.347924151E0
1.193638125E0,3.057218458E0,-1.725337923E-2,2.679356765E0,4.065198033E0
1.203593125E0,4.819356417E0,-1.664299423E0,2.913833621E0,5.872522049E0
1.213548125E0,5.836329891E0,-2.416832569E0,2.803986658E0,6.911307217E0
1.223503125E0,6.029793792E0,-1.894189138E0,3.128194885E0,7.052089683E0
1.233458125E0,5.977533717E0,-1.419649581E0,4.160900293E0,7.420202526E0
1.243412125E0,5.335537505E0,-6.907286614E-1,4.530506303E0,7.033530686E0
1.253367125E0,4.288968934E0,-6.230851471E-2,4.258893195E0,6.044609840E0
1.263322125E0,3.156893604E0,7.613758904E-1,3.821715007E0,5.015094822E0
1.273277125E0,1.680560822E0,2.217372349E0,3.462029969E0,4.441472314E0
1.283232125E0,1.636878321E-1,2.822406557E0,2.678765026E0,3.894682855E0
1.293187125E0,-1.213701144E0,2.224840997E0,2.403031386E0,3.492498787E0
1.303142125E0,-2.330773542E0,9.913398653E-1,2.401854342E0,3.490582231E0
1.313097125E0,-3.677165989E0,-7.166639864E-2,2.213725441E0,4.292699164E0
1.323052125E0,-5.184587540E0,-1.025498714E0,1.712459430E0,5.555547936E0
1.333007125E0,-5.963167108E0,-1.647702101E0,1.110476884E0,6.285494657E0
1.342962125E0,-5.930426209E0,-1.678726843E0,1.717341855E0,6.398229590E0
1.352917125E0,-5.064411471E0,-9.305832016E-1,1.969182603E0,5.512887516E0
1.362871125E0,-3.026418250E0,7.003683811E-1,2.672264677E0,4.097648325E0
1.372826125E0,-1.406260627E0,3.328436294E0,3.875252114E0,5.298456007E0
1.382781125E0,-1.021959980E0,5.359505242E0,5.092282809E0,7.463246133E0
1.392736125E0,-1.227520892E0,6.383910527E0,5.081638538E0,8.251313313E0
1.402691125E0,-1.788068606E0,7.782533521E0,4.734783459E0,9.283490279E0
1.412646125E0,-1.916214284E0,8.310431845E0,4.605257108E0,9.692447970E0
1.422601125E0,6.609028915E-1,8.346244286E0,1.518128387E0,8.508895352E0
1.432556125E0,8.244491040E0,-5.336827401E0,-8.417558098E-1,9.857074214E0
1.442511125E0,1.070668338E1,-2.222909311E1,-1.073283798E1,2.690649477E1
1.452466125E0,2.753700603E0,-1.048612407E1,-1.474282573E1,1.830007037E1
1.462421125E0,6.028955301E0,-8.663144664E0,-7.841457667E0,1.314864388E1
1.472376125E0,9.735640959E0,-8.345111096E-1,-6.367419040E0,1.166289582E1
1.482331125E0,8.996089801E0,1.741902500E0,-3.039501979E0,9.654140475E0
1.492285125E0,9.080820633E0,-1.184306753E0,-3.512411917E0,9.808206938E0
1.502240125E0,7.525278836E0,-2.194373496E0,-2.285319918E0,8.165034215E0
1.512195125E0,5.509994447E0,1.975288850E-1,4.393703091E-1,5.531012812E0
1.522150125E0,4.051156534E0,4.217745169E0,1.186897069E0,5.967408837E0
1.532105125E0,3.653319874E0,5.961366166E0,7.661828864E-1,7.033609947E0
1.542060125E0,2.335159830E0,1.760372100E0,-1.434452977E0,3.257228378E0
1.552015125E0,-2.141594773E0,-3.638162722E0,-2.955285702E0,5.153287275E0
1.561970125E0,-6.826178716E0,-7.605570463E0,-2.189434937E0,1.045155698E1
1.571925125E0,-8.814054283E0,-7.896220935E0,-1.072818477E0,1.188228923E1
1.581880125E0,-8.637730910E0,-6.153106892E0,-3.075992113E-1,1.060970014E1
1.591835125E0,-7.211809021E0,-4.015306962E0,6.748423612E-1,8.281804849E0
1.601789125E0,-5.215507032E0,-1.464166773E0,4.309339464E-2,5.417301448E0
1.611744125E0,-3.069793188E0,-2.680983460E-1,-2.467525005E-1,3.091341737E0
1.621699125E0,-1.362877503E0,8.362354535E-1,1.215082403E0,2.008270417E0
1.631654125E0,-8.322856593E-1,2.578395815E0,1.365424842E0,3.034008800E0
1.641609125E0,-2.041882789E-1,3.400061177E0,1.016877580E0,3.554736119E0
1.651564125E0,-1.978142291E-1,3.696269428E0,7.929099244E-1,3.785530914E0
1.661519125E0,-5.497797740E-1,3.828525259E0,-1.673718703E-1,3.871417932E0
1.671474125E0,-1.098028747E0,4.576988744E0,-2.358854502E-1,4.712762994E0
1.681429125E0,-1.717813141E0,6.034750476E0,5.310441256E-1,6.296912193E0
1.691384125E0,-1.570498974E0,6.809222960E0,1.166821239E0,7.084734022E0
1.701339125E0,-1.174449517E0,6.234825824E0,1.181493073E0,6.453550232E0
1.711294125E0,-8.572784132E-1,5.958326198E0,7.319231728E-1,6.064015905E0
1.721248125E0,-6.713778859E-1,6.224621263E0,7.641088790E-1,6.307180076E0
1.731203125E0,-3.350882877E-1,7.416683763E0,5.346980506E-1,7.443479308E0
1.741158125E0,3.587968469E-2,9.152439669E0,5.163910031E-2,9.152655672E0
1.751113125E0,-6.285562406E-1,9.188402969E0,2.408640620E-1,9.213025972E0
1.761068125E0,1.252999842E0,5.979171522E0,7.214551950E-1,6.151503743E0
