"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.984766250E-1,1.494683538E-1,-5.162836483E0,-5.609630417E0,7.625298338E0
7.084376250E-1,9.183060953E-1,-5.860277163E0,-5.290754850E0,7.948472897E0
7.183996250E-1,1.441630434E0,-6.179320545E0,-3.862536174E0,7.428424220E0
7.283606250E-1,1.857373022E0,-6.087918624E0,-2.250985068E0,6.751260733E0
7.383216250E-1,1.249071244E0,-5.467717323E0,-5.902109313E-1,5.639544365E0
7.482836250E-1,5.471696500E-3,-4.260015568E0,1.333844615E0,4.463956097E0
7.582446250E-1,-6.980370963E-1,-2.471097362E0,5.223737572E0,5.820739831E0
7.682056250E-1,2.023704892E-2,-1.297433126E0,6.029030730E0,6.167086330E0
7.781666250E-1,1.073539877E0,-7.409775862E-1,6.153546603E0,6.290283892E0
7.881286250E-1,1.366145512E0,-3.651796675E-1,6.807355945E0,6.952683274E0
7.980896250E-1,1.360145245E0,1.172360599E0,6.318157418E0,6.568374047E0
8.080506250E-1,7.389554729E-1,3.658292931E0,7.918026956E0,8.753531473E0
8.180126250E-1,5.016151257E-1,5.916908616E0,9.507571481E0,1.120960931E1
8.279736250E-1,3.781339545E-1,6.073864256E0,9.452087837E0,1.124174260E1
8.379346250E-1,2.203451883E0,5.431981480E0,1.277181119E1,1.405278564E1
8.478966250E-1,2.073862381E0,5.713073509E0,1.269253114E1,1.407268492E1
8.578576250E-1,3.910017027E0,2.077640121E0,1.542017772E1,1.604327593E1
8.678186250E-1,3.818317190E0,2.379469884E0,1.535722893E1,1.600268426E1
8.777796250E-1,2.658893264E0,2.993964449E-1,1.224751242E1,1.253638353E1
8.877416250E-1,1.218791803E0,1.014498932E0,9.594604363E0,9.724767063E0
8.977026250E-1,4.042792311E-1,1.911360657E0,6.812899105E0,7.087477370E0
9.076636250E-1,2.431734198E-1,2.274775634E0,3.944987177E0,4.560335660E0
9.176256250E-1,-8.214534000E-3,2.563339528E0,1.276126165E0,2.863437619E0
9.275866250E-1,-2.059341844E-1,2.800940259E0,-9.234981304E-1,2.956437724E0
9.375476250E-1,-5.842923065E-1,2.948913698E0,-2.847136770E0,4.140492397E0
9.475096250E-1,-1.005278019E0,2.850057455E0,-4.628314433E0,5.527631128E0
9.574706250E-1,-1.307176196E0,2.467679957E0,-6.012930422E0,6.629742546E0
9.674316250E-1,-1.323473701E0,2.023710228E0,-7.036353959E0,7.440246150E0
9.773936250E-1,-1.236131941E0,1.432604234E0,-7.676830480E0,7.906586070E0
9.873546250E-1,-1.159705762E0,8.216849497E-1,-7.901137859E0,8.027955099E0
9.973156250E-1,-1.051000030E0,3.507268122E-1,-7.915819048E0,7.992984521E0
1.007276625E0,-1.049006276E0,-1.145114328E-1,-7.928723853E0,7.998636694E0
1.017238625E0,-1.139719541E0,-5.011692390E-1,-7.777591454E0,7.876614759E0
1.027199625E0,-1.205985597E0,-4.360834430E-1,-7.774670185E0,7.879725028E0
1.037160625E0,-1.409910020E0,-9.082117546E-1,-6.915825303E0,7.116272513E0
1.047122625E0,-1.484044383E0,-1.085014160E0,-6.547292258E0,6.800491112E0
1.057083625E0,-1.561317969E0,-1.137803554E0,-6.351790017E0,6.639092344E0
1.067044625E0,-1.641898301E0,-1.017867513E0,-6.286641510E0,6.576757999E0
